Institute,Ranking,Location,ShortDescription,LongDescription,ApplicationDeadline_Masters,ApplicationDeadline_Phd,Application_Fees_US_Resident,Application_Fees_International_Resident,Admissions_Phone,Admissions_Email,Application_URL,Website,FullTimeFaculty,Phd_Student_Ratio,FemalePercentage,MalePercentage,Tuition_masters_full_time,Tuition_masters_part_time,Tuition_doctoral_full_time,Page_URL
University of Wisconsin--Milwaukee,#152-200," • Milwaukee, WI","The College of Engineering and Applied Science at University of Wisconsin--Milwaukee has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $12,219 per year (in-state); full-time: $25,650 per year (out-of-state); part-time: $1,001 per credit (in-state); and part-time: $1,841 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.4:1. The College of Engineering and Applied Science at University of Wisconsin--Milwaukee has 59 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementMilwaukee, WIExplore Map", 04/01, 04/01, $75, $75, (414) 229-6169,crary@uwm.edu,http://www.uwm.edu/Dept/Grad_Sch/Prospective/,http://www.uwm.edu/CEAS, 59, 2.4:1,30.6%,69.4%,"$12,219 per year (in-state)","$1,001 per credit (in-state)","$12,219 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-wisconsin-milwaukee-02193
Wayne State University,#152-200," • Detroit, MI","The College of Engineering at Wayne State University has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $19,638 per year (in-state); full-time: $39,367 per year (out-of-state); part-time: $818 per credit (in-state); and part-time: $1,640 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.1:1. The College of Engineering at Wayne State University has 111 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementDetroit, MIExplore Map", 06/01, 06/01, $50, $50, (313) 577-4723,gradadmissions@wayne.edu,http://wayne.edu/admissions/graduate/,http://engineering.wayne.edu/, 111, 2.1:1,33.9%,66.1%,"$19,638 per year (in-state)",$818 per credit (in-state),"$13,092 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/wayne-state-university-02090
Western Michigan University,#152-200," • Kalamazoo, MI","The College of Engineering and Applied Sciences at Western Michigan University has a rolling application deadline. The application fee is $50 for U.S. residents and $100 for international students. Its tuition is full-time: $16,884 per year (in-state); full-time: $25,325 per year (out-of-state); part-time: $703 per credit (in-state); and part-time: $1,055 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.8:1. The College of Engineering and Applied Sciences at Western Michigan University has 76 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementKalamazoo, MIExplore Map", N/A, N/A, $50, $100, (269) 387-2000,ask-wmu@wmich.edu,https://wmich.edu/apply/graduate,https://wmich.edu/engineer, 76, 0.8:1,19.8%,80.2%,"$16,884 per year (in-state)",$703 per credit (in-state),"$11,256 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/western-michigan-university-02202
Wright State University,#152-200," • Dayton, OH","The College of Engineering and Computer Science at Wright State University has a rolling application deadline. The application fee is $40 for U.S. residents and $40 for international students. Its tuition is full-time: $14,298 per year (in-state); full-time: $24,286 per year (out-of-state); part-time: $660 per credit (in-state); and part-time: $1,125 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.1:1. The College of Engineering and Computer Science at Wright State University has 47 full-time faculty on staff.","Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementDayton, OHExplore Map", 08/22, 08/22, $40, $40, (937) 775-3734,wsugrad@wright.edu,http://www.wright.edu/graduate-school/admissions,http://www.wright.edu/graduate-school, 47, 1.1:1,34.6%,65.4%,"$14,298 per year (in-state)",$660 per credit (in-state),"$14,298 per year (in-state)",https://www.usnews.com/best-graduate-schools/top-engineering-schools/wright-state-university-02145
Air Force Institute of Technology,Unranked," • Wright Patterson AFB, OH",,"Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementWright Patterson AFB, OHExplore Map", N/A, N/A, N/A, N/A, (800) 211-5097,matthew.preissler@afit.edu,,http://www.afit.edu/, N/A, N/A,,, N/A, N/A, N/A,https://www.usnews.com/best-graduate-schools/top-engineering-schools/air-force-institute-of-technology-graduate-school-of-engineering--management-02245
Idaho State University,Unranked," • Pocatello, ID",,"Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementPocatello, IDExplore Map", N/A, N/A, N/A, N/A, (208) 282-2150,graddean@isu.edu,,http://www.isu.edu/cse, N/A, N/A,,, N/A, N/A, N/A,https://www.usnews.com/best-graduate-schools/top-engineering-schools/idaho-state-university-02231
Northern Arizona University,Unranked," • Flagstaff, AZ",The engineering school at Northern Arizona University has a rolling application deadline. The application fee is $65 for U.S. residents and $65 for international students.,"Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementFlagstaff, AZExplore Map", N/A, N/A, $65, $65, (928) 523-4348,graduate@nau.edu,http://nau.edu/graduateapply,https://nau.edu/graduate-college/, N/A, N/A,,, N/A, N/A, N/A,https://www.usnews.com/best-graduate-schools/top-engineering-schools/northern-arizona-university-02557
South Dakota State University,Unranked," • Brookings, SD",The College of Engineering at South Dakota State University has a rolling application deadline. The application fee is $35 for U.S. residents and $35 for international students.,"Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementBrookings, SDExplore Map", N/A, N/A, $35, $35, (605) 688-4181,gradschl@sdstate.edu,http://www.sdstate.edu/graduate-school/apply-graduate-school,http://www.sdstate.edu/, N/A, N/A,,, N/A, N/A, N/A,https://www.usnews.com/best-graduate-schools/top-engineering-schools/south-dakota-state-university-02164
Texas State University,Unranked," • San Marcos, TX",The application fee is $40 for U.S. residents and $50 for international students.,"Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementSan Marcos, TXExplore Map", N/A, N/A, $40, $50, (512) 245-2581,gradcollege@txstate.edu,http://www.gradcollege.txstate.edu/programs/engineering.html,https://www.engineering.txstate.edu/, N/A, N/A,,, N/A, N/A, N/A,https://www.usnews.com/best-graduate-schools/top-engineering-schools/texas-state-university-02447
The University of Texas at El Paso,Unranked," • El Paso, TX",The College of Engineering at The University of Texas at El Paso has a rolling application deadline. The application fee is $80 for U.S. residents and $80 for international students.,"Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementEl Paso, TXExplore Map", N/A, N/A, $80, $80, (915) 747-5491,gradschool@utep.edu,,http://www.utep.edu/graduate, N/A, N/A,,, N/A, N/A, N/A,https://www.usnews.com/best-graduate-schools/top-engineering-schools/the-university-of-texas-at-el-paso-02179
University at Albany--SUNY,Unranked,,,Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.Advertisement, N/A, N/A, N/A, N/A, N/A,,,, N/A, N/A,,, N/A, N/A, N/A,https://www.usnews.com/best-graduate-schools/top-engineering-schools/suny-at-albany-02444
University of Bridgeport,Unranked," • Bridgeport, CT",The School of Engineering at University of Bridgeport has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students.,"Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementBridgeport, CTExplore Map", N/A, N/A, $50, $50, (203) 576-4552,admit@bridgeport.edu,http://www.bridgeport.edu/admissions/graduate-admissions/,http://www.bridgeport.edu/academics/schools-colleges/school-engineering/, N/A, N/A,,, N/A, N/A, N/A,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-bridgeport-02285
University of Chicago,Unranked," • Chicago, IL",,"Video Player is loading.Play VideoPlayUnmuteLoaded: 12.01%0:00Current Time 0:00/Duration 1:40Beginning of dialog window. Escape will cancel and close the window.TextColorWhiteBlackRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentBackgroundColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyOpaqueSemi-TransparentTransparentWindowColorBlackWhiteRedGreenBlueYellowMagentaCyanTransparencyTransparentSemi-TransparentOpaqueFont Size50%75%100%125%150%175%200%300%400%Text Edge StyleNoneRaisedDepressedUniformDropshadowFont FamilyProportional Sans-SerifMonospace Sans-SerifProportional SerifMonospace SerifCasualScriptSmall CapsReset restore all settings to the default valuesDoneClose Modal DialogEnd of dialog window.AdvertisementChicago, ILExplore Map", N/A, N/A, N/A, N/A, N/A,,,, N/A, N/A,,, N/A, N/A, N/A,https://www.usnews.com/best-graduate-schools/top-engineering-schools/university-of-chicago-02453
